"Environment and Climate Change Canada"
"Monthly Values for May - 2017"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"BONILLA ISLAND (AUT)","53.493","-130.639","BC","9.1","7",NA,"15.1","7","5.8","4","",,NA,"65.6","9",NA,"","11","",,NA,"213.6","0.0","1060R0K"
"CATHEDRAL POINT (AUT)","52.187","-127.471","BC","11.4","3",NA,"22.7","3","5.2","3","",,NA,"179.8","5",NA,"","15","",,NA,"185.9","0.0","1061458"
"CUMSHEWA ISLAND","53.030","-131.602","BC","9.6","3",NA,"14.2","3","5.1","2","",,NA,"11.0","5",NA,"","2","",,NA,"234.9","0.0","1062251"
"DRYAD POINT","52.185","-128.112","BC","11.2","0","0.3","20.5","0","4.5","0","0.0","0","0.0","260.4","0","166.0","0.0","18","","",NA,"209.8","0.0","1062544"
"EGG ISLAND","51.247","-127.835","BC","10.3","0","0.3","15.5","0","4.5","0","0.0","0","0.0","158.0","0","125.0","0.0","15","","",NA,"238.3","0.0","1062646"
"GREEN ISLAND","54.569","-130.708","BC","10.5","0","0.3","18.0","0","5.0","0","0.0","0",NA,"186.2","0","145.0","0.0","18","","",NA,"232.5","0.0","1063298"
"GREY ISLET (AUT)","54.580","-130.698","BC","10.4","0",NA,"17.0","0","5.1","0","",,NA,"145.8","1",NA,"","16","",,NA,"236.8","0.0","1063303"
"HERBERT ISLAND (AUT)","50.940","-127.632","BC","10.5","0",NA,"16.4","0","6.2","0","",,NA,"87.0","0",NA,"","13","",,NA,"232.4","0.0","1063461"
"HOLLAND ROCK","54.172","-130.361","BC","9.3","0",NA,"16.3","0","4.8","0","",,NA,"150.0","0",NA,"","17","",,NA,"268.8","0.0","1063496"
"IVORY ISLAND","52.270","-128.407","BC","10.5","0","0.2","19.5","0","4.5","0","0.0","0","0.0","246.1","0","167.0","0.0","18","","",NA,"231.4","0.0","1063690"
"KEMANO","53.563","-127.943","BC","14.2","15","3.1","30.0","14","3.0","15","0.0","14",NA,"33.1","14",NA,"0.0","5","","",NA,"60.8","0.0","1064020"
"KITIMAT TOWNSITE","54.054","-128.634","BC","11.5","0","0.6","29.0","0","-1.0","0","0.0","0","0.0","161.2","0","180.0","0.0","18","","",NA,"202.0","1.0","1064320"
"LUCY ISLAND LIGHTSTATION","54.296","-130.609","BC","9.7","0",NA,"19.1","0","4.9","0","",,NA,"",,NA,"","","",,NA,"255.8","0.0","1064728"
"MCINNES ISLAND","52.262","-128.719","BC","10.6","0","0.3","16.5","0","5.0","0","0.0","0","0.0","162.2","0","117.0","0.0","17","","",NA,"229.8","0.0","1065010"
"PRINCE RUPERT","54.286","-130.445","BC","10.1","5",NA,"20.6","5","3.1","5","",,NA,"221.0","5",NA,"","13","",,NA,"205.0","0.0","1066482"
"PRINCE RUPERT MONT CIRC","54.320","-130.290","BC","",,NA,"",,"",,"0.0","14",NA,"264.0","14",NA,"0.0","12","","",NA,"","","1066488"
"TERRACE PCC","54.502","-128.625","BC","11.8","1","0.6","29.5","1","-0.5","1","0.0","1",NA,"99.1","1",NA,"0.0","13","","",NA,"186.1","1.3","1068131"
"TERRACE A","54.469","-128.578","BC","10.9","1",NA,"28.1","0","-2.5","1","0.0","0",NA,"95.0","0",NA,"","15","",,NA,"215.0","0.8","1068134"
"TRIPLE ISLAND","54.295","-130.880","BC","9.9","0",NA,"17.0","0","5.5","0","0.0","0",NA,"85.4","0",NA,"0.0","13","","",NA,"250.1","0.0","1068250"
"EQUITY SILVER","54.199","-126.277","BC","6.4","3","1.5","24.0","3","-3.5","3","42.0","3",NA,"116.0","3",NA,"0.0","11","","",NA,"325.7","0.0","1072692"
"HOUSTON","54.396","-126.668","BC","10.2","5",NA,"27.0","5","-4.0","5","0.0","10",NA,"82.8","10",NA,"0.0","11","","",NA,"202.1","0.0","1073615"
"SMITHERS","54.825","-127.183","BC","10.9","10",NA,"28.3","10","-0.7","10","",,NA,"77.7","10",NA,"","6","",,NA,"148.7","0.0","1077499"
"SMITHERS A","54.825","-127.183","BC","10.8","0","1.4","28.5","0","-3.0","0","0.0","0","0.0","90.2","0","237.0","0.0","10","","",NA,"224.3","0.0","1077500"
"SMITHERS AIRPORT AUTO","54.824","-127.189","BC","10.6","2",NA,"28.3","2","-3.3","1","",,NA,"66.0","2",NA,"","8","",,NA,"213.9","0.0","1077501"
"TOPLEY LANDING","54.816","-126.163","BC","7.2","12","-1.2","21.5","11","-2.5","10","0.0","10",NA,"62.2","10",NA,"","7","","",NA,"206.1","0.0","1078209"
"SUSKWA VALLEY","55.289","-127.171","BC","8.6","0","-0.4","27.0","0","-4.5","0","0.0","0","0.0","120.0","0","191.0","0.0","14","","",NA,"292.8","0.0","107G879"
"OOTSA LAKESKINS LAKE CLIMATE","53.772","-125.997","BC","8.3","2",NA,"22.8","2","-3.5","0","",,NA,"42.2","1",NA,"","7","",,NA,"280.2","0.0","1085836"
